Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12
uneven,wrong,cringe,nervous,sinister,crazy,resistant,annoyance,creaking,shivery,impossible,restrictive,slimy
risky,faulty,atomic,frantic,offensive,alien,oppressive,boring,alarm,painful,unobvious,restriction,muddy
unpredictable,fall_short_of,not feeling,anxious,nasty,silly,resistive,bore,clangorous,sore,imperative,limited,hairy
sloppy,unsuccessful,bomb,uncomfortable,alarming,unfamiliar,intense,tedious,siren,aching,pertinent,,fat
fracture,deficient,not vigorous,agitative,unpleasant,weird,intrusive,annoying,deaf,numb,urgent,,dirty
breakable,barrier,forget,impatient,gross,,aggressive,irritating,,,assailable,,
insecure,delay,shady,distressed,evil,,dominant,,,,,,
dangerous,frustrative,injectable,worried,malignant,,prickly,,,,,,
fragile,obstruction,illusional,afraid,ominous,,forceful,,,,,,
unstable,stifle,dagger,unsettled,bad,,complex,,,,,,
erratic,lagging,mild,panicky,,,rugged,,,,,,
,,not velvety,neurotic,,,,,,,,,
,,erase,uneasy,,,,,,,,,
,,stumble,,,,,,,,,,
,,small,,,,,,,,,,
,,passive,,,,,,,,,,
,,low,,,,,,,,,,
,,not electric,,,,,,,,,,
,,shooting,,,,,,,,,,
,,skip,,,,,,,,,,
,,lying,,,,,,,,,,
,,indifferent,,,,,,,,,,
