Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
ominous,complex,obstruction,atomic,intense,erratic,cringe,alarm,concerned,annoying,painful,wrong,skip,crazy,restrictive
slimy,fragile,frictional,hairy,quiet,uneven,alien,siren,wary,boring,aching,deficient,forget,silly,restriction
evil,imperative,fracture,fat,oppressive,sloppy,startling,clangorous,worried,irritating,shivery,faulty,disappear,neurotic,limited
muddy,impossible,stifle,hooded,forceful,risky,surprised,deaf,anxious,tedious,sore,fall_short_of,erase,frantic,
nasty,prickly,resistive,not vigorous,aggressive,unpredictable,unfamiliar,creaking,jittery,annoyance,numb,,stumble,,
malignant,urgent,lagging,injectable,intrusive,insecure,weird,warning,distressed,,,,,,
dark,breakable,frustrative,not communication,indifferent,unstable,sudden,,afraid,,,,,,
dirty,rugged,lineal,dagger,dominant,dangerous,abrupt,,uncomfortable,,,,,,
gross,unobvious,unsuccessful,not electric,passive,,alarming,,panicky,,,,,,
offensive,difficult,delay,bee,,,mysterious,,uneasy,,,,,,
bad,assailable,barrier,not velvety,,,,,agitative,,,,,,
unpleasant,pertinent,resistant,distrust,,,,,impatient,,,,,,
sinister,,,flying,,,,,unsettled,,,,,,
shady,,,shooting,,,,,nervous,,,,,,
sticky,,,illusional,,,,,,,,,,,
,,,bomb,,,,,,,,,,,
,,,low,,,,,,,,,,,
,,,lying,,,,,,,,,,,
,,,billowy,,,,,,,,,,,
,,,small,,,,,,,,,,,
