Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
billowy,bomb,impossible,fracture,numb,irritating,restriction,fall_short_of,offensive,sticky,passive,lineal,warning,distrust,evil
creaking,dagger,deficient,resistant,malignant,crazy,delay,,gross,prickly,forceful,,siren,unsettled,sinister
clangorous,shooting,insecure,frictional,fat,tedious,faulty,,,hairy,urgent,,alarm,worried,illusional
startling,atomic,limited,breakable,neurotic,silly,unobvious,,,slimy,agitative,,,uncomfortable,alien
sudden,bee,lying,barrier,deaf,erase,lagging,,,,intrusive,,,afraid,
abrupt,flying,unsuccessful,injectable,nervous,forget,obstruction,,,,imperative,,,indifferent,
shivery,,uneven,resistive,,boring,stifle,,,,frustrative,,,concerned,
alarming,,difficult,,,annoyance,unfamiliar,,,,aggressive,,,impatient,
panicky,,small,,,disappear,not communication,,,,oppressive,,,uneasy,
not velvety,,assailable,,,dirty,restrictive,,,,,,,wary,
jittery,,unstable,,,nasty,not vigorous,,,,,,,surprised,
frantic,,rugged,,,unpleasant,not electric,,,,,,,distressed,
dark,,shady,,,bad,pertinent,,,,,,,anxious,
erratic,,risky,,,painful,,,,,,,,,
ominous,,complex,,,annoying,,,,,,,,,
mysterious,,fragile,,,cringe,,,,,,,,,
hooded,,low,,,skip,,,,,,,,,
intense,,dominant,,,weird,,,,,,,,,
unpredictable,,muddy,,,wrong,,,,,,,,,
quiet,,dangerous,,,sore,,,,,,,,,
aching,,,,,stumble,,,,,,,,,
,,,,,sloppy,,,,,,,,,
