Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
clock,unalarming,active,interesting,childly,playground,patient,musical,active_voice,passenger,hardy,oceanic,safe,rhythmical
machine,not urgent,subordinate,euphoric,attentive,beach,stimulative,artistic,be_well,electric,hotness,,quiet,staccato
radio,assured,present,exciting,discreet,spa,benign,creative,,,sweet,,comfortable,
mysterious,confident,communicational,elate,energetic,massage,obstructive,,,,mild,,steady,
lottery,vigilant,success,abrupt,silly,,,,,,pleasant,,cool,
pillow,not anxious,leader,billowy,charming,,,,,,,,clean,
bore,kind,substitute,sudden,funny,,,,,,,,calm,
flying,determination,continue,startling,leisurely,,,,,,,,friendly,
buzz,notification,working,climactic,excitable,,,,,,,,stable,
alive,unaggressive,profound,soothing,entertained,,,,,,,,constant,
unangry,affirmative,receiving,excitement,playful,,,,,,,,,
horse,neutral,ongoing,,cute,,,,,,,,,
tender,easy,standing,,,,,,,,,,,
,good,important,,,,,,,,,,,
,not distressing,,,,,,,,,,,,
,urgent,,,,,,,,,,,,
,not feeling,,,,,,,,,,,,
,consistent,,,,,,,,,,,,
,familiar,,,,,,,,,,,,
,directive,,,,,,,,,,,,
,impatient,,,,,,,,,,,,
,surprised,,,,,,,,,,,,
,happy,,,,,,,,,,,,
,satisfied,,,,,,,,,,,,
,not sticky,,,,,,,,,,,,
