Participants,Signal,filtered_words,Final Sentiment
1,1,beach,Positive
1,1,friendly,Positive
1,1,not distressing,Positive
1,1,pleasant,Positive
1,2,pleasant,Positive
1,3,stimulative,Positive
1,3,satisfied,Positive
1,3,massage,Positive
1,4,not feeling,Positive
1,4,rhythmical,Positive
1,5,euphoric,Positive
1,6,important,Positive
1,6,soothing,Positive
1,8,mild,Positive
1,8,pleasant,Positive
1,8,pleasant,Positive
1,9,constant,Positive
1,11,not feeling,Positive
1,12,horse,Positive
1,12,stimulative,Positive
1,12,unalarming,Positive
1,13,soothing,Positive
1,13,active_voice,Positive
1,13,satisfied,Positive
1,14,constant,Positive
1,14,steady,Positive
1,14,constant,Positive
1,15,rhythmical,Positive
1,15,satisfied,Positive
1,15,passenger,Positive
2,6,subordinate,Positive
2,6,neutral,Positive
2,17,satisfied,Positive
2,31,quiet,Positive
2,31,quiet,Positive
2,24,euphoric,Positive
2,24,satisfied,Positive
2,24,subordinate,Positive
2,9,familiar,Positive
2,29,satisfied,Positive
2,29,stimulative,Positive
2,7,clock,Positive
2,7,constant,Positive
3,23,happy,Positive
3,23,elate,Positive
3,23,benign,Positive
3,25,staccato,Positive
3,25,staccato,Positive
3,15,discreet,Positive
3,15,attentive,Positive
3,14,staccato,Positive
3,3,constant,Positive
3,5,constant,Positive
3,13,buzz,Positive
3,13,satisfied,Positive
3,13,cute,Positive
3,27,exciting,Positive
3,27,mysterious,Positive
3,30,surprised,Positive
3,10,friendly,Positive
3,10,kind,Positive
3,10,not anxious,Positive
3,10,urgent,Positive
3,10,substitute,Positive
4,26,clean,Positive
4,2,funny,Positive
4,24,flying,Positive
4,29,neutral,Positive
4,29,clean,Positive
4,31,machine,Positive
4,1,be_well,Positive
4,1,neutral,Positive
5,22,steady,Positive
5,22,constant,Positive
5,14,assured,Positive
5,14,hotness,Positive
5,14,cool,Positive
5,25,constant,Positive
5,30,musical,Positive
5,27,massage,Positive
5,23,constant,Positive
5,23,excitement,Positive
5,10,communicational,Positive
5,21,spa,Positive
5,21,easy,Positive
5,21,leisurely,Positive
6,18,impatient,Positive
6,6,oceanic,Positive
6,2,quiet,Positive
6,2,buzz,Positive
6,2,buzz,Positive
6,26,impatient,Positive
6,16,stable,Positive
6,16,confident,Positive
6,16,leader,Positive
6,16,stable,Positive
6,16,confident,Positive
6,16,continue,Positive
6,7,obstructive,Positive
6,20,alive,Positive
6,20,active,Positive
6,20,success,Positive
6,20,working,Positive
6,20,affirmative,Positive
6,11,startling,Positive
6,9,active,Positive
6,9,artistic,Positive
6,9,funny,Positive
6,9,creative,Positive
6,9,funny,Positive
6,9,creative,Positive
6,9,funny,Positive
6,32,radio,Positive
7,19,profound,Positive
7,23,buzz,Positive
7,4,lottery,Positive
7,14,funny,Positive
7,14,silly,Positive
7,14,entertained,Positive
7,3,constant,Positive
7,3,pleasant,Positive
7,13,rhythmical,Positive
7,13,rhythmical,Positive
7,13,receiving,Positive
7,27,safe,Positive
7,27,important,Positive
7,15,excitement,Positive
7,15,stimulative,Positive
7,5,consistent,Positive
7,5,determination,Positive
7,21,charming,Positive
8,1,steady,Positive
8,1,exciting,Positive
8,32,constant,Positive
8,32,bore,Positive
8,32,beach,Positive
8,29,energetic,Positive
8,31,interesting,Positive
8,31,exciting,Positive
8,18,climactic,Positive
8,20,assured,Positive
8,20,stimulative,Positive
8,20,playful,Positive
8,20,funny,Positive
8,11,sweet,Positive
8,26,funny,Positive
8,26,playful,Positive
8,16,calm,Positive
8,16,patient,Positive
8,24,electric,Positive
8,24,electric,Positive
8,24,electric,Positive
8,9,familiar,Positive
8,9,funny,Positive
8,9,exciting,Positive
8,7,musical,Positive
9,15,unalarming,Positive
9,10,soothing,Positive
9,10,tender,Positive
9,10,present,Positive
9,10,calm,Positive
9,27,tender,Positive
9,27,not urgent,Positive
9,27,unaggressive,Positive
9,22,not urgent,Positive
9,22,unaggressive,Positive
9,28,excitable,Positive
9,28,energetic,Positive
9,30,vigilant,Positive
9,30,steady,Positive
9,30,directive,Positive
9,14,good,Positive
10,1,pleasant,Positive
10,1,abrupt,Positive
10,1,notification,Positive
10,29,musical,Positive
10,29,rhythmical,Positive
10,17,billowy,Positive
10,11,ongoing,Positive
10,31,sudden,Positive
10,31,important,Positive
10,16,standing,Positive
10,12,not feeling,Positive
10,12,notification,Positive
11,19,hotness,Positive
11,21,not feeling,Positive
11,4,pillow,Positive
11,4,kind,Positive
11,14,pleasant,Positive
11,25,familiar,Positive
11,25,musical,Positive
11,15,not sticky,Positive
11,15,comfortable,Positive
11,10,hardy,Positive
12,17,quiet,Positive
12,17,childly,Positive
12,17,playground,Positive
12,29,unangry,Positive
1,3,alien,Negative
1,6,urgent,Negative
1,6,alarm,Negative
1,6,alarm,Negative
1,6,unfamiliar,Negative
1,8,alarm,Negative
1,9,oppressive,Negative
1,9,oppressive,Negative
1,14,urgent,Negative
1,15,tedious,Negative
1,16,distressed,Negative
1,16,unpleasant,Negative
1,16,boring,Negative
2,6,stifle,Negative
2,17,numb,Negative
2,17,distressed,Negative
2,31,quiet,Negative
2,31,quiet,Negative
2,24,stifle,Negative
2,24,boring,Negative
2,11,uncomfortable,Negative
2,11,distressed,Negative
2,11,stifle,Negative
2,11,fall_short_of,Negative
2,26,agitative,Negative
2,26,unpredictable,Negative
2,26,nervous,Negative
2,29,offensive,Negative
2,29,dominant,Negative
2,1,frantic,Negative
2,1,intense,Negative
2,1,bomb,Negative
2,1,sore,Negative
2,18,uncomfortable,Negative
2,12,intense,Negative
2,2,annoying,Negative
3,19,irritating,Negative
3,19,sticky,Negative
3,23,not electric,Negative
3,25,anxious,Negative
3,25,malignant,Negative
3,28,difficult,Negative
3,15,annoying,Negative
3,8,resistive,Negative
3,8,annoying,Negative
3,8,resistant,Negative
3,3,resistive,Negative
3,5,annoying,Negative
3,21,resistant,Negative
3,21,aggressive,Negative
3,21,aggressive,Negative
3,13,bee,Negative
3,13,dangerous,Negative
3,4,intrusive,Negative
3,4,aggressive,Negative
3,4,aggressive,Negative
3,4,aggressive,Negative
3,4,obstruction,Negative
3,27,mysterious,Negative
3,27,anxious,Negative
3,22,unstable,Negative
3,22,anxious,Negative
3,30,surprised,Negative
3,30,distressed,Negative
3,30,dominant,Negative
4,6,prickly,Negative
4,6,small,Negative
4,26,erase,Negative
4,26,frustrative,Negative
4,26,dirty,Negative
4,26,atomic,Negative
4,26,dirty,Negative
4,17,resistive,Negative
4,17,dirty,Negative
4,17,dirty,Negative
4,17,gross,Negative
4,17,dirty,Negative
4,17,crazy,Negative
4,2,dirty,Negative
4,11,frictional,Negative
4,11,frictional,Negative
4,24,dirty,Negative
4,24,flying,Negative
4,12,frictional,Negative
4,12,small,Negative
4,12,crazy,Negative
4,20,dirty,Negative
4,20,frictional,Negative
4,31,concerned,Negative
4,32,frictional,Negative
4,32,small,Negative
4,18,shooting,Negative
5,4,difficult,Negative
5,22,frictional,Negative
5,22,difficult,Negative
5,22,resistive,Negative
5,14,lineal,Negative
5,15,barrier,Negative
5,23,frictional,Negative
5,8,not communication,Negative
5,8,not communication,Negative
5,28,annoying,Negative
5,28,forceful,Negative
5,28,frictional,Negative
6,17,frictional,Negative
6,17,uncomfortable,Negative
6,17,sticky,Negative
6,17,nasty,Negative
6,12,bad,Negative
6,12,creaking,Negative
6,12,bee,Negative
6,12,evil,Negative
6,1,dark,Negative
6,1,sinister,Negative
6,1,low,Negative
6,18,stumble,Negative
6,18,lagging,Negative
6,18,neurotic,Negative
6,18,impatient,Negative
6,6,passive,Negative
6,31,restrictive,Negative
6,31,annoying,Negative
6,2,passive,Negative
6,2,quiet,Negative
6,2,annoying,Negative
6,26,lagging,Negative
6,26,impatient,Negative
6,16,painful,Negative
6,16,aching,Negative
6,7,sticky,Negative
6,7,oppressive,Negative
6,7,sticky,Negative
6,20,faulty,Negative
6,20,deficient,Negative
6,20,cringe,Negative
6,11,sticky,Negative
6,11,evil,Negative
6,11,startling,Negative
6,29,illusional,Negative
6,32,hairy,Negative
7,25,slimy,Negative
7,25,resistant,Negative
7,22,shivery,Negative
7,23,complex,Negative
7,14,silly,Negative
7,3,dagger,Negative
7,27,alarming,Negative
7,15,nervous,Negative
7,15,jittery,Negative
7,15,afraid,Negative
7,8,fat,Negative
7,28,fracture,Negative
7,28,fragile,Negative
7,30,indifferent,Negative
7,10,frustrative,Negative
7,21,anxious,Negative
8,1,delay,Negative
8,32,frictional,Negative
8,32,forget,Negative
8,17,siren,Negative
8,17,warning,Negative
8,17,risky,Negative
8,17,ominous,Negative
8,17,uncomfortable,Negative
8,31,small,Negative
8,18,irritating,Negative
8,18,irritating,Negative
8,18,irritating,Negative
8,12,weird,Negative
8,12,impossible,Negative
8,12,breakable,Negative
8,2,imperative,Negative
8,2,unsettled,Negative
8,2,insecure,Negative
8,11,not velvety,Negative
8,6,lying,Negative
8,26,slimy,Negative
8,24,anxious,Negative
8,24,pertinent,Negative
8,24,weird,Negative
8,9,deaf,Negative
8,7,shady,Negative
8,7,distrust,Negative
8,7,hooded,Negative
8,7,wary,Negative
9,15,not vigorous,Negative
9,8,uneasy,Negative
9,8,unpredictable,Negative
9,8,alarming,Negative
9,5,unobvious,Negative
9,13,restriction,Negative
9,13,limited,Negative
9,13,resistive,Negative
9,13,imperative,Negative
9,28,alarm,Negative
9,28,alarm,Negative
9,28,erratic,Negative
9,28,worried,Negative
9,28,anxious,Negative
9,23,panicky,Negative
