Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
safe,quiet,hotness,clock,notification,pillow,oceanic,stimulative,rhythmical,musical,cool,spa,subordinate,playground
active,steady,euphoric,passenger,lottery,billowy,mysterious,,staccato,artistic,hardy,massage,affirmative,beach
comfortable,vigilant,buzz,patient,directive,,profound,,,creative,unaggressive,,neutral,
not urgent,calm,excitement,machine,tender,,abrupt,,,,sweet,,obstructive,
present,mild,,radio,,,sudden,,,,energetic,,,
assured,attentive,,communicational,,,startling,,,,silly,,,
confident,discreet,,leader,,,climactic,,,,charming,,,
not anxious,benign,,substitute,,,,,,,funny,,,
interesting,stable,,electric,,,,,,,leisurely,,,
kind,consistent,,bore,,,,,,,excitable,,,
clean,constant,,flying,,,,,,,pleasant,,,
determination,,,elate,,,,,,,soothing,,,
success,,,receiving,,,,,,,playful,,,
friendly,,,horse,,,,,,,cute,,,
easy,,,,,,,,,,,,,
continue,,,,,,,,,,,,,
working,,,,,,,,,,,,,
good,,,,,,,,,,,,,
not distressing,,,,,,,,,,,,,
exciting,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,
not feeling,,,,,,,,,,,,,
alive,,,,,,,,,,,,,
entertained,,,,,,,,,,,,,
familiar,,,,,,,,,,,,,
impatient,,,,,,,,,,,,,
ongoing,,,,,,,,,,,,,
surprised,,,,,,,,,,,,,
standing,,,,,,,,,,,,,
happy,,,,,,,,,,,,,
satisfied,,,,,,,,,,,,,
important,,,,,,,,,,,,,
not sticky,,,,,,,,,,,,,
