Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
1,0.13333333333333333,0.0,0.08333333333333333,0.1,0.1111111111111111,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.25,0.0
2,0.06666666666666667,0.08333333333333333,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.07142857142857142,0.2,0.0,0.0,0.0,0.0,0.0
3,0.06666666666666667,0.0,0.08333333333333333,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.08333333333333333,0.08333333333333333,0.0,0.2222222222222222,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
6,0.0,0.16666666666666666,0.16666666666666666,0.1,0.1111111111111111,0.0,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.16666666666666666,0.1,0.0,0.125,0.2,0.16666666666666666,0.07142857142857142,0.2,0.0,0.0,0.0,0.0,0.0
9,0.0,0.08333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13333333333333333,0.0,0.16666666666666666,0.05,0.0,0.0,0.1,0.0,0.14285714285714285,0.0,0.0,0.25,0.0,0.0,0.0
12,0.13333333333333333,0.16666666666666666,0.08333333333333333,0.1,0.1111111111111111,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.0
13,0.06666666666666667,0.16666666666666666,0.08333333333333333,0.05,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
14,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.25,0.0
15,0.0,0.0,0.08333333333333333,0.05,0.0,0.0,0.0,0.0,0.21428571428571427,0.4,0.0,0.0,0.0,0.0,0.0
17,0.3333333333333333,0.0,0.16666666666666666,0.05,0.1111111111111111,0.125,0.0,0.3333333333333333,0.14285714285714285,0.0,0.2,0.0,0.2,0.25,0.0
31,0.0,0.0,0.08333333333333333,0.05,0.1111111111111111,0.0,0.1,0.0,0.07142857142857142,0.2,0.0,0.0,0.0,0.0,0.3333333333333333
24,0.13333333333333333,0.08333333333333333,0.08333333333333333,0.1,0.0,0.0,0.1,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0
29,0.13333333333333333,0.0,0.0,0.05,0.2222222222222222,0.25,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13333333333333333,0.0,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.08333333333333333,0.08333333333333333,0.05,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
25,0.13333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.13333333333333333,0.08333333333333333,0.16666666666666666,0.1,0.1111111111111111,0.25,0.0,0.16666666666666666,0.21428571428571427,0.0,0.0,0.0,0.2,0.0,0.0
22,0.13333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.0,0.2,0.0,0.0,0.0,0.0
21,0.0,0.0,0.08333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.08333333333333333,0.05,0.0,0.0,0.0,0.0,0.14285714285714285,0.4,0.0,0.0,0.2,0.25,0.0
16,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.2,0.4,0.0,0.0,0.0,0.0
20,0.06666666666666667,0.0,0.08333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0
32,0.06666666666666667,0.08333333333333333,0.08333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
19,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0
28,0.0,0.16666666666666666,0.16666666666666666,0.0,0.1111111111111111,0.125,0.0,0.16666666666666666,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0
