Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
1,0.0,0.16666666666666666,0.18181818181818182,0.1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.25,0.1,0.0
2,0.09090909090909091,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.0
3,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.125,0.0,0.1
4,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2
5,0.09090909090909091,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
6,0.0,0.16666666666666666,0.18181818181818182,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.16666666666666666,0.125,0.2,0.0
11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.0
12,0.09090909090909091,0.0,0.09090909090909091,0.1,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.1
13,0.18181818181818182,0.0,0.09090909090909091,0.1,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.1
14,0.09090909090909091,0.0,0.0,0.1,0.0,0.25,0.0,0.2857142857142857,0.0,0.0,0.3333333333333333,0.25,0.2,0.0
15,0.18181818181818182,0.16666666666666666,0.0,0.1,0.3333333333333333,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.125,0.0,0.1
17,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.1
31,0.09090909090909091,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
24,0.18181818181818182,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
29,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.3333333333333333,0.0,0.125,0.0,0.1
7,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.1
23,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.0,0.1
25,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.125,0.0,0.0
27,0.0,0.16666666666666666,0.0,0.2,0.16666666666666666,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.1,0.1
30,0.0,0.0,0.09090909090909091,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
10,0.0,0.0,0.2727272727272727,0.1,0.16666666666666666,0.125,0.0,0.0,0.16666666666666666,0.0,0.0,0.125,0.0,0.3
26,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.125,0.2,0.0
22,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
21,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.1,0.0
18,0.0,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.125,0.0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.1
20,0.0,0.0,0.09090909090909091,0.0,0.0,0.25,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.1
32,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
19,0.0,0.0,0.0,0.1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
