Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
1,0.0,0.14285714285714285,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.2,0.08333333333333333,0.0,0.6666666666666666,0.0,0.09090909090909091,0.23076923076923078
2,0.06666666666666667,0.0,0.0,0.1111111111111111,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.15384615384615385
3,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
4,0.06666666666666667,0.0,0.0,0.0,0.25,0.05263157894736842,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
5,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.2857142857142857,0.0,0.1111111111111111,0.0,0.15789473684210525,0.1,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.15384615384615385
8,0.13333333333333333,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.07692307692307693
9,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.16666666666666666,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
11,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.3333333333333333,0.0,0.07692307692307693
12,0.2,0.14285714285714285,0.16666666666666666,0.0,0.0,0.05263157894736842,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.15384615384615385
13,0.06666666666666667,0.14285714285714285,0.16666666666666666,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693
14,0.06666666666666667,0.14285714285714285,0.16666666666666666,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
15,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.07692307692307693
17,0.06666666666666667,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.15789473684210525,0.1,0.0,0.2,0.08333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.07692307692307693
31,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.0,0.0,0.0,0.23076923076923078
24,0.13333333333333333,0.14285714285714285,0.0,0.1111111111111111,0.0,0.05263157894736842,0.1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.09090909090909091,0.07692307692307693
29,0.13333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.1,0.16666666666666666,0.0,0.08333333333333333,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693
7,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.0,0.3333333333333333,0.09090909090909091,0.0
23,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.15384615384615385
25,0.0,0.0,0.16666666666666666,0.1111111111111111,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.0,0.09090909090909091,0.0
30,0.06666666666666667,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.09090909090909091,0.0
10,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.14285714285714285,0.16666666666666666,0.2222222222222222,0.25,0.10526315789473684,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.07692307692307693
22,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.05263157894736842,0.1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.09090909090909091,0.0
21,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0
18,0.13333333333333333,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.18181818181818182,0.0
16,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
20,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.15789473684210525,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
32,0.06666666666666667,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.1,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693
19,0.13333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.13333333333333333,0.14285714285714285,0.16666666666666666,0.0,0.25,0.05263157894736842,0.2,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0
