Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
1,0.0,0.058823529411764705,0.0625,0.08333333333333333,0.0,0.0,0.5,0.08,0.5,0.0,0.0,0.2,0.0,0.0,0.25
2,0.09523809523809523,0.11764705882352941,0.0625,0.0,0.0,0.16666666666666666,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.047619047619047616,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25
4,0.09523809523809523,0.058823529411764705,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.047619047619047616,0.058823529411764705,0.0625,0.08333333333333333,0.0,0.3333333333333333,0.0,0.08,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
8,0.09523809523809523,0.058823529411764705,0.0625,0.0,0.5,0.0,0.0,0.08,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0
9,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.047619047619047616,0.0,0.0625,0.08333333333333333,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.2,0.0,0.0,0.25
12,0.14285714285714285,0.11764705882352941,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.25
13,0.047619047619047616,0.058823529411764705,0.0,0.08333333333333333,0.25,0.3333333333333333,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.047619047619047616,0.0,0.0625,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0
15,0.09523809523809523,0.0,0.1875,0.08333333333333333,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.19047619047619047,0.058823529411764705,0.0625,0.08333333333333333,0.25,0.0,0.25,0.16,0.0,0.5,0.6666666666666666,0.2,0.0,0.0,0.0
31,0.047619047619047616,0.0,0.0625,0.08333333333333333,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.2,0.0,0.0,0.0
24,0.19047619047619047,0.0,0.125,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.09523809523809523,0.11764705882352941,0.0625,0.08333333333333333,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
7,0.047619047619047616,0.058823529411764705,0.125,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0
25,0.047619047619047616,0.058823529411764705,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25
30,0.0,0.11764705882352941,0.0625,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.09523809523809523,0.11764705882352941,0.125,0.16666666666666666,0.5,0.0,0.0,0.04,0.5,0.0,0.0,0.0,0.2,0.0,0.0
22,0.09523809523809523,0.058823529411764705,0.125,0.0,0.25,0.16666666666666666,0.0,0.04,0.0,0.5,0.0,0.0,0.0,0.0,0.0
21,0.0,0.058823529411764705,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.09523809523809523,0.058823529411764705,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0
16,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.047619047619047616,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0
32,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.5,0.0,0.0,0.2,0.0,0.0
19,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.047619047619047616,0.17647058823529413,0.125,0.0,0.0,0.16666666666666666,0.25,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0
