Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
1,0.09090909090909091,0.09090909090909091,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.25,0.5
2,0.0,0.09090909090909091,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
3,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.5,0.0,0.0
4,0.06060606060606061,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5,0.030303030303030304,0.18181818181818182,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.5,0.0
8,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
9,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.07142857142857142,0.0,0.0,0.0
11,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
12,0.030303030303030304,0.0,0.0,0.07142857142857142,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.06060606060606061,0.0,0.25,0.07142857142857142,0.0,0.0,0.0,0.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.0
14,0.12121212121212122,0.18181818181818182,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.0,0.0,0.0
15,0.09090909090909091,0.18181818181818182,0.25,0.07142857142857142,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
17,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
31,0.09090909090909091,0.09090909090909091,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.030303030303030304,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
29,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.07142857142857142,0.0,0.25,0.0
7,0.0,0.09090909090909091,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0
23,0.030303030303030304,0.18181818181818182,0.5,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0
27,0.12121212121212122,0.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.5,0.0,0.0
30,0.030303030303030304,0.18181818181818182,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
10,0.15151515151515152,0.09090909090909091,0.0,0.14285714285714285,0.25,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
26,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
22,0.030303030303030304,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
21,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5,0.0,0.0
18,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.09090909090909091,0.18181818181818182,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.25,0.0
32,0.0,0.09090909090909091,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
19,0.0,0.0,0.25,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
