Signal,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
1,0.304162558,0.182051989,0.50877193,0.006287844,0.483862484,0.466666667,0.691520303
2,0.393413297,0.126359772,0.245614035,0.713553796,0.58635274,0.225,0.940227873
3,0.401215513,0.204917924,0.035087719,0.420819748,0.566735936,0.247916667,0.71686496
4,0.682604408,0.318536569,0.771929825,0.072426642,0.639943262,0.579166667,0.519306497
5,0.77912529,0,0.385964912,0.528877503,0.114337944,0,0.736376587
6,0.378941816,0.138664904,0.578947368,0.023521192,0.220518746,0.416666667,0.429303192
7,0.471251978,0.726353753,0.877192982,0.0165347,7.76E-05,0.072916667,0.001940395
8,1,0.171455495,0.473684211,0.066837448,0.153584486,0.0625,0.322642856
9,0,0.196706454,0.157894737,0.706567303,1,0.152083333,0.931607007
10,0.762965851,0.593853313,0.631578947,0.102468561,0,0.127083333,0.014965375
11,0.388193473,0.014288454,0.666666667,0.027480205,0.697401097,0.264583333,0.729925475
12,0.483329129,0.726448931,0.842105263,0.044247788,0.008441693,0.31875,0.025460951
13,0.508423732,0.334473825,0.315789474,0.432696786,0.750362156,0.341666667,0.897641484
14,0.365672087,0.131792212,0.175438596,0.066138798,0.747025144,0.0875,0.817568433
15,0.391486824,0.332916001,0.350877193,0.141127154,0.002341082,0.102083333,0
16,0.391473064,0.75426897,0.473684211,0.069864928,0.000163833,0.125,0.01288715
17,0.479467009,0.336351822,0.526315789,0.087796926,0.00326803,0.202083333,0.000695613
18,0.407971929,0.123154545,0.245614035,0.387517466,0.78889732,0.18125,0.904113055
19,0.438501938,0.305815737,0.070175439,1,0.148626393,0.258333333,0.303693319
20,0.36266312,0.3260762,0.684210526,0.041220307,0.620335081,0.33125,0.655792057
21,0.426516524,0.27972463,0.456140351,0.224266418,0.695215224,0.25,0.764850427
22,0.400976997,0.138876953,0,0.425710293,0.467242093,0.2125,0.578294714
23,0.390615325,0.186127106,0.070175439,0.607359106,0.375159521,0.21875,0.465353401
24,0.436121368,0.369847143,0.842105263,0.0482068,0.398406512,1,0.24326865
25,0.413563287,0.142588858,0.50877193,0.011877038,0.826044218,0.489583333,0.612140712
26,0.628920028,0.473075394,1,0,0.391111648,0.566666667,0.177064792
27,0.563589661,0.265906113,0.561403509,0.285514672,0.858379609,0.472916667,0.771470597
28,0.511703323,0.417862911,0.719298246,0.009315324,0.680685855,0.497916667,0.473640458
29,0.377533656,0.270537596,0.456140351,0.199115044,0.898091781,0.24375,0.927011221
30,0.404692338,0.163674422,0.228070175,0.467862133,0.581571414,0.172916667,1
31,0.378395982,0.365462001,0.736842105,0.022123894,0.00028024,0.416666667,0.124132502
32,0.426190858,1,0.824561404,0.050535631,0.021233574,0.308333333,0.285318792
