Participants,Signal,Tags
1,1,"quite weak,quite calming,beach,pulsating,stronger pulse,distressing,Quite pleasant"
1,2,"pulse,active,pulsing,tingling,not strong,petting a cat,robotic,pleasant"
1,3,"stronger,excited,satisfied,quite nice,not super strong,pleasing,static,screen,not natural,technological feeling,alien feeling,TV thing,massage"
1,4,"nearly there,rhythm"
1,5,"regular,super strong,pulse,sequenced,quite direct,regular,not distressed,alarm clock,gentle vibrations"
1,6,"urgent,not sharp,urgent,alarm,not gently woken up,Get out of bed,fire alarm,something important,dissatisfying,alarm,actions afoot,soothing,nice,not tactile bored,different,experienced before,alarms,tactile sensation"
1,7,"slower,heartbeat,heart beating,bizarre,watering system,sprinklers,regular,soft,pulse,indirect,alarm"
1,8,"regular,not intense,slower,harsh,strong,not fast,alarm,bad,calm,phone ringing,not unpleasant,nice,pulsating,pleasant"
1,9,"rhythmic,not sharp,soft,constant,not flowing,oppressive,not submissive,unnerving thing,novel,washing machine,vibrations,actual rhythm,constancy,Indirect"
1,10,","
1,11,"similar,not a whole lot,something"
1,12,"train,horse,Excitement,excited,not relaxing,jogging,rhythmic,pulsating,up-beat,urgent,not alarming"
1,13,"horse,train,nice,settling,soothing,train,not passive,waves rolling,rhythm,direct,less involved,satisfied,positive,playing a game,remote controller,stressful,remote shakes,doing well in your game,not in danger"
1,14,"strong,shaving,electric razor,vibrations,constant,pulse,no gaps,steady,fast,urgent,faster,club,techno,hard,fast,not noise,not rhythmic,pleasing,nice,soft,shaving,pulse,pulse,fast,heavy bass line,not hard techno,not rhythmic,not constant,not relaxing,slightly stressful,nice,end of a presentation,out of the woods,high-pressure situation,nice,not relaxing"
1,15,"printer,big printers,big scanner,shooting out pages,printing,rhythm,fast,taxi,passenger"
1,16,"nice,slow,strong,strong,tempo,not aggressive pulse,not distressed,bored,unpleasant,bored,personal printer,little boring,Nothing direct,not alarm,not hearing alarm,background noise,background sensation,funny"
2,1,"creaky,seesaw,knife-edge,not excited,blunt knife,kitchen knife,rugged edge,not dominant,neutral,sawing,uncomfortable"
2,2,"similar,balloon,balloon,squeaky,numb,distressed,not satisfied"
2,3,"interchangeable,waiting,smooth,hits,fingerprint button on an iPhone,quiet,quiet"
2,4,"fingerprint button on an iPhone,unlock an iPhone with your fingerprint,stronger,alarm clock"
2,5,"smooth,water,not excited,boring,not distressed,slightly satisfied,not dominant"
2,6,"smoother,icing sugar,really soft,nice pen,smooth pen,smooth,nice"
2,7,"don't like this,scratchy,rubber,rubber boots,wearing something rubbery,rubbery,uncomfortable,not excited,slightly distressed,not satisfied"
2,8,"rubbing a balloon,familiar,tiring"
2,9,"agitated,smooth,stronger vibrations,chalk on a blackboard,unpredictable,nervous"
2,10,"stronger,electric shock,game,little man on the operating table,shock,not satisfied,more excited,dominant"
2,11,"heart beating,consistent,rhythmic,calming,clock,smooth,constant,subtle,vibrations"
2,12,"Ved Siden Af,nightclub,frantic,intense,scary,bomb exploding,strong,pulsing,sore"
2,13,"pencil,scratchy,scratchy,not nice,smooth,wooden surface,wood sticking up,splint,uncomfortable"
2,14,"dramatic music,bad bit in a movie,chased,low to high on a loop,lights in science museums,globe,light,light"
2,15,"frog croaking,scary,low,faster,chased,intense,dominating,rough"
2,16,"sandpaper,frustrating,unable to wear it down to make it smooth,annoying,sandpaper,paper,cardboard"
3,1,"annoyed,sweaty,sticking,irritating,wet,window of a car that's slightly damp,damp mirror,sticky"
3,2,"happy,not depressed,benign,braille,Tingly,buzzing"
3,3,"staccato,musical,staccato,not anxious,not benign"
3,4,"constant friction,constant,Difficult,Resistance,facing restrictions,irksome"
3,5,"discreet,attentive,periodical,not much,small buzz,not like obstruction,pull a sticker off,glue,annoying"
3,6,"stronger,zing,staccato,fast staccato buzz"
3,7,"resistance,jagged,irksome,annoying,frustrating,comes and goes,resistant all of a sudden,unexpected,help,annoying,snow on grass,step in a hole,stumbling"
3,8,"sticker,sticky stuff,nice when you leave it for a while,little buzz,polishing,squeaky clean,squeaking,resistance,constant"
