Participants,Signal,phrases
1,1,"not massively put me up or down,white noise"
1,2,"not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,a bit more familiar"
1,3,TV thing
1,4,nearly there
1,5,"not super strong,fancy alarm clock,gentle vibrations"
1,6,"not gently woken up,8:15,fire alarm,actions afoot,tactile sensation"
1,7,"heart beating,sprinklers watering system,Someone else's alarm is going off"
1,8,"not as fast,bad happening,calm phone ringing,nice intensity,struggling to feel it,in your face"
1,9,"downstairs neighbor,washing machine,can't hear,can't feel Indirect"
1,12,up-beat
1,13,"remote controller,stressful bits happening,remote shakes,doing well,not in any danger"
1,14,"electric razor,bass line,end of giving a presentation,going well,out of the woods,high-pressure situation"
1,15,"big printer,big scanner,menial tasks,falling into the tray"
1,16,"nice and slow,not aggressive pulse,personal printer from the early 2000s,take four minutes to print a sheet,long time,background noise,background sensation"
2,1,"run fingers,knife-edge,blunt kitchen knife,rugged edge,associated with sawing,slightly uncomfortable"
2,2,down the balloon
2,3,"hits the glass,finger on the glass,fingerprint button on an iPhone"
2,4,"fingerprint button,unlock an iPhone,five times stronger,alarm clock"
2,6,"icing sugar,really soft,nice pen,smooth pen"
2,7,"rubber boots,touching something rubbery"
2,8,"rubbing a balloon,lesser scale"
2,9,"stronger vibrations,chalk on a blackboard"
2,10,"electric shock,operating table"
2,11,"heart beating,subtle vibrations"
2,12,Ved Siden Af
2,14,"dramatic music,bad bit,being chased,low to high,science museums,move the light"
2,15,frog croaking
2,16,want to wear it down
3,1,"window of a car,damp mirror,trying to do something"
3,2,limited knowledge
3,3,musical term
3,4,constant friction
3,5,"small buzz,no obstruction,sticker glue"
3,6,fast staccato buzz
3,7,"comes and goes,snow on grass,don't know what's underneath,step in a hole"
3,8,"sticky stuff,little buzz,squeaky clean,squeaking noise"
3,9,"supposed to be sensing,can't make its mind up,not much on finger"
3,10,stuck in the mud
3,11,"tiny little motor,little dog"
3,13,"not very powerful,slightly exciting,buzz of excitement,in my head"
3,14,"old-school,coming to life"
3,15,"standing on the deck,stressing out"
3,16,purring kitten
4,1,"rub a balloon on your head,bamboo woods,tiny little things"
4,2,"not completely smooth,painted over,something between,painted furniture,no emotions,on my nails"
4,3,little thing
4,4,"last one,cleaning a whiteboard,cleaning a window,not really gross"
4,6,"good speed,run it around,not as smooth as glass,relatively smooth,dinner table"
